Y,R,GPNAME,P1,P2,P3,RATING,raceId
2008,1,Australian GP,Hamilton,Heidfeld,Rosberg,7.609,18
2008,10,German GP,Hamilton,Piquet,Massa,7.18,27
2008,11,Hungarian GP,Kovalainen,Glock,Raikkonen,6.202,28
2008,12,European GP,Massa,Hamilton,Kubica,3.977,29
2008,13,Belgian GP,Massa,Heidfeld,Hamilton,7.736,30
2008,14,Italian GP,Vettel,Kovalainen,Kubica,8.153,31
2008,15,Singapore GP,Alonso,Rosberg,Hamilton,6.302,32
2008,16,Japanese GP,Alonso,Kubica,Raikkonen,6.66,33
2008,17,Chinese GP,Hamilton,Massa,Raikkonen,4.446,34
2008,18,Brazilian GP,Massa,Alonso,Raikkonen,8.756,35
2008,2,Malaysian GP,Raikkonen,Kubica,Kovalainen,5.738,19
2008,3,Bahrain GP,Massa,Raikkonen,Kubica,5.364,20
2008,4,Spanish GP,Raikkonen,Massa,Hamilton,5.085,21
2008,5,Turkish GP,Massa,Hamilton,Raikkonen,6.816,22
2008,6,Monaco GP,Hamilton,Kubica,Massa,8.177,23
2008,7,Canadian GP,Kubica,Heidfeld,Coultard,7.809,24
2008,8,French GP,Massa,Raikkonen,Trulli,3.977,25
2008,9,British GP,Hamilton,Heidfeld,Barichello,8.164,26
2009,1,Australian GP,Button,Barichello,Trulli,7.937,1
2009,10,Hungarian GP,Hamilton,Raikkonen,Webber,6.808,10
2009,11,European GP,Barichello,Hamilton,Raikkonen,5.355,11
2009,12,Belgian GP,Raikkonen,Fisichella,Vettel,7.852,12
2009,13,Italian GP,Barichello,Button,Raikkonen,7.049,13
2009,14,Singapore GP,Hamilton,Glock,Alonso,5.336,14
2009,15,Japanese GP,Vettel,Trulli,Hamilton,5.58,15
2009,16,Brazilian GP,Webber,Kubica,Hamilton,8.309,16
2009,17,Abu Dhabi GP,Vettel,Webber,Button,5.794,17
2009,2,Malaysian GP,Button,Heidfeld,Glock,5.284,2
2009,3,Chinese GP,Vettel,Webber,Button,6.69,3
2009,4,Bahrain GP,Button,Vettel,Trulli,6.42,4
2009,5,Spanish GP,Button,Barichello,Webber,5.33,5
2009,6,Monaco GP,Button,Barichello,Raikkonen,5.504,6
2009,7,Turkish GP,Button,Webber,Vettel,5.276,7
2009,8,British GP,Vettel,Webber,Barichello,5.755,8
2009,9,German GP,Webber,Vettel,Massa,7.096,9
2010,1,Bahrain GP,Alonso,Massa,Hamilton,4.587,337
2010,10,British GP,Webber,Hamilton,Rosberg,7.203,346
2010,11,German GP,Alonso,Massa,Vettel,3.74,347
2010,12,Hungarian GP,Webber,Alonso,Vettel,6.654,348
2010,13,Belgian GP,Hamilton,Webber,Kubica,8.368,349
2010,14,Italian GP,Alonso,Button,Massa,6.759,350
2010,15,Singapore GP,Alonso,Vettel,Webber,7.194,351
2010,16,Japanese GP,Vettel,Webber,Alonso,6.642,352
2010,17,Korean GP,Alonso,Hamilton,Massa,7.536,353
2010,18,Brazilian GP,Vettel,Webber,Alonso,6.253,354
2010,19,Abu Dhabi GP,Vettel,Hamilton,Button,6.602,355
2010,2,Australian GP,Button,Kubica,Massa,8.638,338
2010,3,Malaysian GP,Vettel,Webber,Rosberg,6.684,339
2010,4,Chinese GP,Button,Hamilton,Rosberg,8.326,340
2010,5,Spanish GP,Webber,Alonso,Vettel,4.919,341
2010,6,Monaco GP,Webber,Vettel,Kubica,6.217,342
2010,7,Turkish GP,Hamilton,Button,Webber,7.984,343
2010,8,Canadian GP,Hamilton,Button,Alonso,8.668,344
2010,9,European GP,Vettel,Hamilton,Button,5.454,345
2011,1,Australian GP,Vettel,Hamilton,Petrov,6.751,841
2011,10,German GP,Hamilton,Alonso,Webber,8.43,850
2011,11,Hungarian GP,Button,Vettel,Alonso,8.344,851
2011,12,Belgian GP,Vettel,Webber,Button,7.772,852
2011,13,Italian GP,Vettel,Button,Alonso,7.494,853
2011,14,Singapore GP,Vettel,Button,Webber,6.39,854
2011,15,Japanese GP,Button,Alonso,Vettel,7.57,855
2011,16,Korean GP,Vettel,Hamilton,Webber,6.915,856
2011,17,Indian GP,Vettel,Button,Alonso,5.555,857
2011,18,Abu Dhabi GP,Hamilton,Alonso,Button,6.127,858
2011,19,Brazilian GP,Webber,Vettel,Button,5.771,859
2011,2,Malaysian GP,Vettel,Button,Heidfeld,7.775,842
2011,3,Chinese GP,Hamilton,Vettel,Webber,9.241,843
2011,4,Turkish GP,Vettel,Webber,Alonso,7.306,844
2011,5,Spanish GP,Vettel,Hamilton,Button,7.319,845
2011,6,Monaco GP,Vettel,Alonso,Button,7.684,846
2011,7,Canadian GP,Button,Vettel,Webber,9.095,847
2011,8,European GP,Vettel,Alonso,Webber,3.871,848
2011,9,British GP,Alonso,Vettel,Webber,7.96,849
2012,1,Australian GP,Button,Vettel,Hamilton,7.662,860
2012,10,German GP,Alonso,Vettel,Button,7.055,869
2012,11,Hungarian GP,Hamilton,Raikkonen,Grosjean,5.975,870
2012,12,Belgian GP,Button,Vettel,Raikkonen,7.467,871
2012,13,Italian GP,Hamilton,Perez,Alonso,7.64,872
2012,14,Singapore GP,Vettel,Button,Alonso,5.998,873
2012,15,Japanese GP,Vettel,Massa,Kobayashi,6.381,874
2012,16,Korean GP,Vettel,Webber,Alonso,5.158,875
2012,17,Indian GP,Vettel,Alonso,Webber,5.194,876
2012,18,Abu Dhabi GP,Raikkonen,Alonso,Vettel,8.854,877
2012,19,United States GP,Hamilton,Vettel,Alonso,8.772,878
2012,2,Malaysian GP,Alonso,Perez,Hamilton,8.452,861
2012,20,Brazilian GP,Button,Alonso,Massa,9.449,879
2012,3,Chinese GP,Rosberg,Button,Hamilton,8.648,862
2012,4,Bahrain GP,Vettel,Raikkonen,Grosjean,6.904,863
2012,5,Spanish GP,Maldonado,Alonso,Raikkonen,8.274,864
2012,6,Monaco GP,Webber,Rosberg,Alonso,5.436,865
2012,7,Canadian GP,Hamilton,Grosjean,Perez,8.197,866
2012,8,European GP,Alonso,Raikkonen,Schumacher,8.784,867
2012,9,British GP,Webber,Alonso,Vettel,7.048,868
2013,1,Australian GP,Raikkonen,Alonso,Vettel,7.698,880
2013,10,Hungarian GP,Hamilton,Raikkonen,Vettel,7.677,890
2013,11,Belgian GP,Vettel,Alonso,Hamilton,5.688,891
2013,12,Italian GP,Vettel,Alonso,Webber,5.84,892
2013,13,Singapore GP,Vettel,Alonso,Raikkonen,5.973,893
2013,14,Korean GP,Vettel,Raikkonen,Grosjean,7.351,894
2013,15,Japanese GP,Vettel,Webber,Grosjean,7.338,895
2013,16,Indian GP,Vettel,Rosberg,Grosjean,6.502,896
2013,17,Abu Dhabi GP,Vettel,Webber,Rosberg,5.017,897
2013,18,United States GP,Vettel,Grosjean,Webber,5.396,898
2013,19,Brazilian GP,Vettel,Webber,Alonso,7.144,899
2013,2,Malaysian GP,Vettel,Webber,Hamilton,6.826,881
2013,3,Chinese GP,Alonso,Raikkonen,Hamilton,7.412,882
2013,4,Bahrain GP,Vettel,Raikkonen,Grosjean,7.826,883
2013,5,Spanish GP,Alonso,Raikkonen,Massa,5.947,884
2013,6,Monaco GP,Rosberg,Vettel,Webber,6.132,885
2013,7,Canadian GP,Vettel,Alonso,Hamilton,6.329,886
2013,8,British GP,Rosberg,Webber,Alonso,7.394,887
2013,9,German GP,Vettel,Raikkonen,Grosjean,7.643,888
2014,1,Australian GP,Rosberg,Ricciardo,Magnussen,6.89,900
2014,10,German GP,Rosberg,Bottas,Hamilton,7.86,909
2014,11,Hungarian GP,Ricciardo,Alonso,Hamilton,9.14,910
2014,12,Belgian GP,Ricciardo,Rosberg,Bottas,7.76,911
2014,13,Italian GP,Hamilton,Rosberg,Massa,7.42,912
2014,14,Singapore GP,Hamilton,Vettel,Ricciardo,6.43,913
2014,16,Russian GP,Hamilton,Rosberg,Bottas,4.06,915
2014,17,United States GP,Hamilton,Rosberg,Ricciardo,7.33,916
2014,18,Brazilian GP,Rosberg,Hamilton,Massa,7.22,917
2014,19,Abu Dhabi GP,Hamilton,Massa,Bottas,6.49,918
2014,2,Malaysian GP,Hamilton,Rosberg,Vettel,5.9,901
2014,3,Bahrain GP,Hamilton,Rosberg,Perez,9.095,902
2014,4,Chinese GP,Hamilton,Rosberg,Alonso,5.47,903
2014,5,Spanish GP,Hamilton,Rosberg,Ricciardo,6.45,904
2014,6,Monaco GP,Rosberg,Hamilton,Ricciardo,7.04,905
2014,7,Canadian GP,Ricciardo,Rosberg,Vettel,9.19,906
2014,8,Austrian GP,Rosberg,Hamilton,Bottas,6.7,907
2014,9,British GP,Hamilton,Bottas,Ricciardo,7.85,908
2015,1,Australian GP,Hamilton,Rosberg,Vettel,4.75,926
2015,10,Hungarian GP,Vettel,Kvyat,Ricciardo,9.11,936
2015,11,Belgian GP,Hamilton,Rosberg,Grosjean,6.39,937
2015,12,Italian GP,Hamilton,Vettel,Massa,5.64,938
2015,13,Singapore GP,Vettel,Ricciardo,Raikkonen,6.55,939
2015,14,Japanese GP,Hamilton,Rosberg,Vettel,5.21,940
2015,15,Russian GP,Hamilton,Vettel,Perez,6.96,941
2015,16,United States GP,Hamilton,Rosberg,Vettel,9.1,942
2015,17,Mexican GP,Rosberg,Hamilton,Bottas,5.44,943
2015,18,Brazilian GP,Rosberg,Hamilton,Vettel,4.57,944
2015,19,Abu Dhabi GP,Rosberg,Hamilton,Raikkonen,5.25,945
2015,2,Malaysian GP,Vettel,Hamilton,Rosberg,8.37,927
2015,3,Chinese GP,Hamilton,Rosberg,Vettel,5.72,928
2015,4,Bahrain GP,Hamilton,Raikkonen,Rosberg,7.366,929
2015,5,Spanish GP,Rosberg,Hamilton,Vettel,5.15,930
2015,6,Monaco GP,Rosberg,Vettel,Hamilton,5.63,931
2015,7,Canadian GP,Hamilton,Rosberg,Bottas,5.54,932
2015,8,Austrian GP,Rosberg,Hamilton,Massa,5.6,933
2015,9,British GP,Hamilton,Rosberg,Vettel,7.95,934
2016,1,Australian GP,Rosberg,Hamilton,Vettel,7.757,948
2016,10,British GP,Hamilton,Rosberg,Verstappen,6.47,957
2016,11,Hungarian GP,Hamilton,Rosberg,Ricciardo,5.11,958
2016,12,German GP,Hamilton,Ricciardo,Verstappen,5.9,959
2016,13,Belgian GP,Rosberg,Ricciardo,Hamilton,7.21,960
2016,14,Italian GP,Rosberg,Hamilton,Vettel,4.96,961
2016,15,Singapore GP,Rosberg,Ricciardo,Hamilton,7.17,962
2016,16,Malaysian GP,Ricciardo,Verstappen,Rosberg,8.05,963
2016,18,United States GP,Hamilton,Rosberg,Ricciardo,6.09,965
2016,19,Mexican GP,Hamilton,Rosberg,Verstappen,5.91,966
2016,2,Bahrain GP,Rosberg,Raikkonen,Hamilton,7.382,949
2016,20,Brazilian GP,Hamilton,Rosberg,Verstappen,8.2,967
2016,21,Abu Dhabi GP,Hamilton,Rosberg,Vettel,7.6,968
2016,3,Chinese GP,Rosberg,Vettel,Kvyat,7.853,950
2016,4,Russian GP,Rosberg,Hamilton,Raikkonen,5.32,951
2016,5,Spanish GP,Verstappen,Raikkonen,Vettel,8.72,952
2016,6,Monaco GP,Hamilton,Ricciardo,Perez,7.81,953
2016,7,Canadian GP,Hamilton,Vettel,Bottas,6.61,954
2016,8,European GP,Rosberg,Vettel,Perez,4.71,955
2016,9,Austrian GP,Hamilton,Verstappen,Raikkonen,8.02,956
2017,1,Australian GP,Vettel,Hamilton,Bottas,6.47,969
2017,10,British GP,Hamilton,Bottas,Raikkonen,6.51,978
2017,11,Hungarian GP,Vettel,Raikkonen,Bottas,5.9,979
2017,12,Belgian GP,Hamilton,Vettel,Ricciardo,7.25,980
2017,13,Italian GP,Hamilton,Bottas,Vettel,5.93,981
2017,14,Singapore GP,Hamilton,Ricciardo,Bottas,6.4,982
2017,15,Malaysian GP,Verstappen,Hamilton,Ricciardo,7.4,983
2017,16,Japanese GP,Hamilton,Verstappen,Ricciardo,6.1,984
2017,17,United States GP,Hamilton,Vettel,Raikkonen,7.7,985
2017,18,Mexican GP,Verstappen,Bottas,Raikkonen,6.8,986
2017,19,Brazilian GP,Vettel,Bottas,Raikkonen,6.74,987
2017,2,Chinese GP,Hamilton,Vettel,Verstappen,7.5,970
2017,20,Abu Dhabi GP,Bottas,Hamilton,Vettel,3.76,988
2017,3,Bahrain GP,Vettel,Hamilton,Bottas,7.9,971
2017,4,Russian GP,Bottas,Vettel,Raikkonen,4.9,972
2017,5,Spanish GP,Hamilton,Vettel,Ricciardo,7.85,973
2017,6,Monaco GP,Vettel,Raikkonen,Ricciardo,4.93,974
2017,7,Canadian GP,Hamilton,Bottas,Ricciardo,7.63,975
2017,8,Azerbaijan GP,Ricciardo,Bottas,Stroll,8.8,976
2017,9,Austrian GP,Bottas,Vettel,Ricciardo,5.85,977
2018,1,Australian GP,Vettel,Hamilton,Raikkonen,6.1,989
2018,10,British GP,Vettel,Hamilton,Raikkonen,8.69,998
2018,11,German GP,Hamilton,Bottas,Raikkonen,8.12,999
2018,12,Hungarian GP,Hamilton,Vettel,Raikkonen,6.11,1000
2018,13,Belgian GP,Vettel,Hamilton,Verstappen,5.29,1001
2018,2,Bahrain GP,Vettel,Bottas,Hamilton,8.36,990
2018,3,Chinese GP,Ricciardo,Bottas,Raikkonen,8.59,991
2018,4,Azerbaijan GP,Hamilton,Raikkonen,Perez,8.57,992
2018,5,Spanish GP,Hamilton,Bottas,Verstappen,4.85,993
2018,6,Monaco GP,Ricciardo,Vettel,Hamilton,5.23,994
2018,7,Canadian GP,Vettel,Bottas,Verstappen,4.24,995
2018,8,French GP,Hamilton,Verstappen,Raikkonen,6.47,996
2018,9,Austrian GP,Verstappen,Raikkonen,Vettel,8.01,997
