Race,Cause,Deployed,Retreated,FullLaps,raceId,year,race_name,rating
1973 Canadian Grand Prix,Accident,33,39.0,5,618,1973,Canadian Grand Prix,
1993 Brazilian Grand Prix,Accident/Rain,29,38.0,8,274,1993,Brazilian Grand Prix,
1993 British Grand Prix,Stranded car,38,40.0,1,281,1993,British Grand Prix,
1994 San Marino Grand Prix,Accident,1,6.0,4,259,1994,San Marino Grand Prix,
1995 Belgian Grand Prix,Rain,28,33.0,4,250,1995,Belgian Grand Prix,
1996 Argentine Grand Prix,Accident,28,33.0,4,226,1996,Argentine Grand Prix,
1996 Belgian Grand Prix,Accident,13,18.0,4,236,1996,Belgian Grand Prix,
1997 Argentine Grand Prix,Accident,1,6.0,4,209,1997,Argentine Grand Prix,
1997 Belgian Grand Prix,Rain,1,4.0,3,218,1997,Belgian Grand Prix,
1998 Canadian Grand Prix,Accident,1,6.0,4,197,1998,Canadian Grand Prix,
1998 Canadian Grand Prix,Debris,15,18.0,2,197,1998,Canadian Grand Prix,
1998 Canadian Grand Prix,Accident,20,22.0,1,197,1998,Canadian Grand Prix,
1998 British Grand Prix,Rain,42,49.0,6,199,1998,British Grand Prix,
1998 Austrian Grand Prix,Two accidents,1,4.0,2,200,1998,Austrian Grand Prix,
1998 Belgian Grand Prix,Accident,28,33.0,4,203,1998,Belgian Grand Prix,
1999 Australian Grand Prix,Accident,15,17.0,1,175,1999,Australian Grand Prix,
1999 Australian Grand Prix,Accident,20,25.0,4,175,1999,Australian Grand Prix,
1999 Canadian Grand Prix,Accident,1,3.0,1,180,1999,Canadian Grand Prix,
1999 Canadian Grand Prix,Accident,3,8.0,4,180,1999,Canadian Grand Prix,
1999 Canadian Grand Prix,Accident,35,41.0,5,180,1999,Canadian Grand Prix,
1999 Canadian Grand Prix,Accident,66,,3,180,1999,Canadian Grand Prix,
1999 French Grand Prix,Stranded car/Rain,25,36.0,10,181,1999,French Grand Prix,
1999 European Grand Prix,Accident,1,6.0,4,188,1999,European Grand Prix,
2000 Australian Grand Prix,Accident,7,11.0,3,158,2000,Australian Grand Prix,
2000 Austrian Grand Prix,Accident,1,3.0,1,167,2000,Austrian Grand Prix,
2000 German Grand Prix,Man on track,25,29.0,3,168,2000,German Grand Prix,
2000 German Grand Prix,Accident,30,32.0,1,168,2000,German Grand Prix,
2000 Belgian Grand Prix,Rain,1,2.0,1,170,2000,Belgian Grand Prix,
2000 Italian Grand Prix,Multiple accidents,1,12.0,11,171,2000,Italian Grand Prix,
2000 Malaysian Grand Prix,Accident,1,3.0,1,174,2000,Malaysian Grand Prix,
2001 Australian Grand Prix,Accident,5,15.0,9,141,2001,Australian Grand Prix,
2001 Malaysian Grand Prix,Rain,4,11.0,6,142,2001,Malaysian Grand Prix,
2001 Brazilian Grand Prix,Stranded car,1,3.0,1,143,2001,Brazilian Grand Prix,
2001 Austrian Grand Prix,Four stranded cars,1,4.0,2,146,2001,Austrian Grand Prix,
2001 Canadian Grand Prix,Accident,21,24.0,2,148,2001,Canadian Grand Prix,
2001 Belgian Grand Prix,Accident,6,7.0,1,154,2001,Belgian Grand Prix,
2002 Australian Grand Prix,Accident,1,6.0,4,124,2002,Australian Grand Prix,
2002 Australian Grand Prix,Accident,9,12.0,2,124,2002,Australian Grand Prix,
2002 Austrian Grand Prix,Stranded car,24,28.0,3,129,2002,Austrian Grand Prix,
2002 Austrian Grand Prix,Accident,28,37.0,8,129,2002,Austrian Grand Prix,
2002 Canadian Grand Prix,Stranded car,14,17.0,2,131,2002,Canadian Grand Prix,
2003 Australian Grand Prix,Two accidents,8,11.0,2,108,2003,Australian Grand Prix,
2003 Australian Grand Prix,Stranded car,16,20.0,3,108,2003,Australian Grand Prix,
2003 Brazilian Grand Prix,Rain,1,9.0,8,110,2003,Brazilian Grand Prix,
2003 Brazilian Grand Prix,Accident,18,24.0,5,110,2003,Brazilian Grand Prix,
2003 Brazilian Grand Prix,Three accidents,27,30.0,2,110,2003,Brazilian Grand Prix,
2003 Brazilian Grand Prix,Accident,33,37.0,3,110,2003,Brazilian Grand Prix,
2003 Brazilian Grand Prix,Two accidents,54,,2,110,2003,Brazilian Grand Prix,
2003 Austrian Grand Prix,Stranded car,1,5.0,3,113,2003,Austrian Grand Prix,
2003 British Grand Prix,Debris from car,5,7.0,1,118,2003,British Grand Prix,
2003 British Grand Prix,Man on track,12,15.0,2,118,2003,British Grand Prix,
2004 Monaco Grand Prix,Accident,3,8.0,4,95,2004,Monaco Grand Prix,
2004 Monaco Grand Prix,Accident,32,37.0,4,95,2004,Monaco Grand Prix,
2004 British Grand Prix,Accident,40,45.0,4,100,2004,British Grand Prix,
2004 United States Grand Prix,Accident,1,6.0,4,98,2004,United States Grand Prix,
2004 United States Grand Prix,Accident,11,20.0,8,98,2004,United States Grand Prix,
2004 Belgian Grand Prix,Accident,1,5.0,3,103,2004,Belgian Grand Prix,
2004 Belgian Grand Prix,Accident,31,34.0,2,103,2004,Belgian Grand Prix,
2004 Belgian Grand Prix,Debris from accident,38,42.0,3,103,2004,Belgian Grand Prix,
2005 Monaco Grand Prix,Stranded car,25,29.0,3,76,2005,Monaco Grand Prix,
2005 Canadian Grand Prix,Accident,46,52.0,5,78,2005,Canadian Grand Prix,
2005 British Grand Prix,Accident,1,3.0,1,81,2005,British Grand Prix,
2005 Belgian Grand Prix,Accident,11,14.0,2,86,2005,Belgian Grand Prix,
2005 Japanese Grand Prix,Accident,1,8.0,6,88,2005,Japanese Grand Prix,
2005 Chinese Grand Prix,Loose drain cover,19,25.0,5,89,2005,Chinese Grand Prix,
2005 Chinese Grand Prix,Accident,29,35.0,5,89,2005,Chinese Grand Prix,
2006 Australian Grand Prix,Accident,1,3.0,1,55,2006,Australian Grand Prix,
2006 Australian Grand Prix,Accident,8,10.0,1,55,2006,Australian Grand Prix,
2006 Australian Grand Prix,Accident,32,35.0,2,55,2006,Australian Grand Prix,
2006 Australian Grand Prix,Accident,36,40.0,3,55,2006,Australian Grand Prix,
2006 San Marino Grand Prix,Accident,1,3.0,1,56,2006,San Marino Grand Prix,
2006 Monaco Grand Prix,Stranded car,47,49.0,1,59,2006,Monaco Grand Prix,
2006 British Grand Prix,Accident,2,4.0,1,60,2006,British Grand Prix,
2006 Canadian Grand Prix,Accident,2,4.0,1,61,2006,Canadian Grand Prix,
2006 Canadian Grand Prix,Accident,61,64.0,2,61,2006,Canadian Grand Prix,
2006 United States Grand Prix,Two accidents,1,7.0,5,62,2006,United States Grand Prix,
2006 Hungarian Grand Prix,Accident,26,31.0,4,65,2006,Hungarian Grand Prix,
2006 Turkish Grand Prix,Stranded car,13,16.0,2,66,2006,Turkish Grand Prix,
2006 Brazilian Grand Prix,Accident,2,6.0,3,70,2006,Brazilian Grand Prix,
2007 Bahrain Grand Prix,Accident,1,4.0,2,38,2007,Bahrain Grand Prix,
2007 Canadian Grand Prix,Accident,22,26.0,3,41,2007,Canadian Grand Prix,
2007 Canadian Grand Prix,Accident,26,34.0,7,41,2007,Canadian Grand Prix,
2007 Canadian Grand Prix,Debris from accident,50,54.0,3,41,2007,Canadian Grand Prix,
2007 Canadian Grand Prix,Accident,55,60.0,4,41,2007,Canadian Grand Prix,
2007 European Grand Prix,Accidents,3,7.0,3,45,2007,European Grand Prix,
2007 Italian Grand Prix,Accident,1,7.0,5,48,2007,Italian Grand Prix,
2007 Japanese Grand Prix,Rain,1,20.0,19,50,2007,Japanese Grand Prix,
2007 Japanese Grand Prix,Accident,41,48.0,6,50,2007,Japanese Grand Prix,
2008 Australian Grand Prix,Accident,1,3.0,1,18,2008,Australian Grand Prix,7.609
2008 Australian Grand Prix,Accident,27,31.0,3,18,2008,Australian Grand Prix,7.609
2008 Australian Grand Prix,Accident,45,49.0,3,18,2008,Australian Grand Prix,7.609
2008 Spanish Grand Prix,Accident,1,4.0,2,21,2008,Spanish Grand Prix,5.085
2008 Spanish Grand Prix,Accident,22,29.0,6,21,2008,Spanish Grand Prix,5.085
2008 Turkish Grand Prix,Accident,1,3.0,1,22,2008,Turkish Grand Prix,6.816
2008 Monaco Grand Prix,Accident,8,11.0,2,23,2008,Monaco Grand Prix,8.177
2008 Monaco Grand Prix,Accident,62,68.0,5,23,2008,Monaco Grand Prix,8.177
2008 Canadian Grand Prix,Stranded car,16,22.0,5,24,2008,Canadian Grand Prix,7.809
2008 German Grand Prix,Accident,36,42.0,5,27,2008,German Grand Prix,7.18
2008 Italian Grand Prix,Rain,1,3.0,2,31,2008,Italian Grand Prix,8.153
2008 Singapore Grand Prix,Accident,16,20.0,3,32,2008,Singapore Grand Prix,6.302
2008 Singapore Grand Prix,Accident,51,54.0,3,32,2008,Singapore Grand Prix,6.302
2008 Brazilian Grand Prix,Accident,1,4.0,2,35,2008,Brazilian Grand Prix,8.756
2009 Australian Grand Prix,Accident,19,25.0,5,1,2009,Australian Grand Prix,7.937
2009 Australian Grand Prix,Accident,56,,3,1,2009,Australian Grand Prix,7.937
2009 Malaysian Grand Prix,Rain,31,,1,2,2009,Malaysian Grand Prix,5.284
2009 Chinese Grand Prix,Rain,1,9.0,8,3,2009,Chinese Grand Prix,6.69
2009 Chinese Grand Prix,Debris from accident,19,23.0,3,3,2009,Chinese Grand Prix,6.69
2009 Spanish Grand Prix,Accident,1,6.0,3,5,2009,Spanish Grand Prix,5.33
2009 Belgian Grand Prix,Accident,1,5.0,3,12,2009,Belgian Grand Prix,7.852
2009 Italian Grand Prix,Accident,53,,1,13,2009,Italian Grand Prix,7.049
2009 Singapore Grand Prix,Accident,21,26.0,5,14,2009,Singapore Grand Prix,5.336
2009 Japanese Grand Prix,Accident,45,50.0,5,15,2009,Japanese Grand Prix,5.58
2009 Brazilian Grand Prix,Accident,1,6.0,5,16,2009,Brazilian Grand Prix,8.309
2010 Australian Grand Prix,Accident,2,5.0,2,338,2010,Australian Grand Prix,8.638
2010 Chinese Grand Prix,Accident,1,4.0,2,340,2010,Chinese Grand Prix,8.326
2010 Chinese Grand Prix,Debris from accident,22,26.0,3,340,2010,Chinese Grand Prix,8.326
2010 Monaco Grand Prix,Accident,1,7.0,5,342,2010,Monaco Grand Prix,6.217
2010 Monaco Grand Prix,Accident,31,34.0,2,342,2010,Monaco Grand Prix,6.217
2010 Monaco Grand Prix,Loose drain cover,43,46.0,2,342,2010,Monaco Grand Prix,6.217
2010 Monaco Grand Prix,Accident,75,,3,342,2010,Monaco Grand Prix,6.217
2010 European Grand Prix,Accident,10,15.0,4,345,2010,European Grand Prix,5.454
2010 British Grand Prix,Debris from car,28,31.0,2,346,2010,British Grand Prix,7.203
2010 Hungarian Grand Prix,Debris from car,15,18.0,2,348,2010,Hungarian Grand Prix,6.654
2010 Belgian Grand Prix,Accident,2,4.0,1,349,2010,Belgian Grand Prix,8.368
2010 Belgian Grand Prix,Accident,38,41.0,2,349,2010,Belgian Grand Prix,8.368
2010 Singapore Grand Prix,Accident,3,6.0,2,351,2010,Singapore Grand Prix,7.194
2010 Singapore Grand Prix,Accident,31,36.0,4,351,2010,Singapore Grand Prix,7.194
2010 Japanese Grand Prix,Accident,1,7.0,5,352,2010,Japanese Grand Prix,6.642
2010 Korean Grand Prix,Rain,1,4.0,3,353,2010,Korean Grand Prix,7.536
2010 Korean Grand Prix,Rain,4,18.0,14,353,2010,Korean Grand Prix,7.536
2010 Korean Grand Prix,Accident,19,24.0,4,353,2010,Korean Grand Prix,7.536
2010 Korean Grand Prix,Accident,31,35.0,3,353,2010,Korean Grand Prix,7.536
2010 Brazilian Grand Prix,Accident,51,56.0,4,354,2010,Brazilian Grand Prix,6.253
2010 Abu Dhabi Grand Prix,Accident,1,6.0,4,355,2010,Abu Dhabi Grand Prix,6.602
2011 Monaco Grand Prix,Accident,35,39.0,3,846,2011,Monaco Grand Prix,7.684
2011 Canadian Grand Prix,Rain,1,6.0,5,847,2011,Canadian Grand Prix,9.095
2011 Canadian Grand Prix,Accident,8,13.0,4,847,2011,Canadian Grand Prix,9.095
2011 Canadian Grand Prix,Rain,20,26.0,6,847,2011,Canadian Grand Prix,9.095
2011 Canadian Grand Prix,Rain,26,34.0,8,847,2011,Canadian Grand Prix,9.095
2011 Canadian Grand Prix,Accident,37,40.0,2,847,2011,Canadian Grand Prix,9.095
2011 Canadian Grand Prix,Debris from accident,56,61.0,4,847,2011,Canadian Grand Prix,9.095
2011 Belgian Grand Prix,Accident,13,17.0,3,852,2011,Belgian Grand Prix,7.772
2011 Italian Grand Prix,Accident,1,4.0,3,853,2011,Italian Grand Prix,7.494
2011 Singapore Grand Prix,Accident,30,34.0,3,854,2011,Singapore Grand Prix,6.39
2011 Japanese Grand Prix,Debris from accident,24,28.0,3,855,2011,Japanese Grand Prix,7.57
2011 Korean Grand Prix,Accident,17,21.0,3,856,2011,Korean Grand Prix,6.915
2012 Australian Grand Prix,Stranded car,37,42.0,4,860,2012,Australian Grand Prix,7.662
2012 Malaysian Grand Prix,Rain,6,10.0,4,861,2012,Malaysian Grand Prix,8.452
2012 Malaysian Grand Prix,Rain,10,15.0,5,861,2012,Malaysian Grand Prix,8.452
2012 Monaco Grand Prix,Accident,1,3.0,1,865,2012,Monaco Grand Prix,5.436
2012 European Grand Prix,Debris from accident,27,34.0,6,867,2012,European Grand Prix,8.784
2012 Belgian Grand Prix,Accident,1,6.0,4,871,2012,Belgian Grand Prix,7.467
2012 Singapore Grand Prix,Accident,30,32.0,1,873,2012,Singapore Grand Prix,5.998
2012 Singapore Grand Prix,Accident,33,43.0,9,873,2012,Singapore Grand Prix,5.998
2012 Japanese Grand Prix,Accident,1,3.0,1,874,2012,Japanese Grand Prix,6.381
2012 Abu Dhabi Grand Prix,Accident,9,15.0,5,877,2012,Abu Dhabi Grand Prix,8.854
2012 Abu Dhabi Grand Prix,Accident,39,43.0,3,877,2012,Abu Dhabi Grand Prix,8.854
2012 Brazilian Grand Prix,Debris,23,29.0,5,879,2012,Brazilian Grand Prix,9.449
2012 Brazilian Grand Prix,Accident,70,,1,879,2012,Brazilian Grand Prix,9.449
2013 Monaco Grand Prix,Accident,31,39.0,7,885,2013,Monaco Grand Prix,6.132
2013 Monaco Grand Prix,Accident,47,48.0,1,885,2013,Monaco Grand Prix,6.132
2013 Monaco Grand Prix,Accident,62,67.0,4,885,2013,Monaco Grand Prix,6.132
2013 British Grand Prix,Debris from car,14,22.0,7,887,2013,British Grand Prix,7.394
2013 British Grand Prix,Stranded car,41,46.0,4,887,2013,British Grand Prix,7.394
